YEAR       DAY        EXEC_TIME       MAX_RAM_KB     
------------------------------------------------------------
2008-122.h5       3:54.52           4159224
2008-123.h5       3:41.86           3978148
2008-124.h5       4:23.89           4159052
2008-125.h5       4:12.30           4159000
2008-126.h5       4:00.09           3975192
2008-127.h5       4:17.27           4149764
2008-128.h5       3:23.18           3618192
2008-129.h5       4:09.04           4154368
2008-130.h5       3:56.16           3968248
2008-131.h5       4:15.40           4150216
2008-132.h5       3:58.99           4148388
2008-133.h5       3:43.91           3978616
2008-134.h5       3:54.44           4160616
2008-135.h5       3:43.63           3978140
2008-136.h5       4:56.11           4158548
2008-137.h5       3:47.90           3977928
2008-138.h5       4:06.16           4158444
2008-139.h5       3:48.97           3980592
2008-140.h5       4:04.85           4159880
2008-141.h5       4:38.74           3797644
2008-142.h5       3:46.72           3981140
2008-143.h5       4:02.92           4159292
2008-144.h5       0:31.38           1798992
2008-149.h5       1:04.42           2169452
2008-150.h5       4:07.03           4158480
2008-152.h5       4:00.81           4158680
2008-153.h5       3:46.10           3978288
2008-154.h5       4:01.84           4158096
2008-155.h5       2:20.56           3077768
2008-162.h5       0:33.20           1799296
2008-163.h5       3:44.40           3978292
2008-164.h5       4:00.63           4160508
2008-165.h5       2:55.44           3436980
2008-167.h5       4:27.26           3978044
2008-168.h5       4:37.72           4159400
2008-169.h5       4:26.28           3978444
2008-170.h5       4:45.00           4158124
2008-171.h5       4:23.65           3978132
2008-172.h5       4:35.31           4158244
2008-173.h5       5:05.03           4159356
2008-174.h5       3:58.81           3799144
2008-175.h5       4:28.71           4158280
2008-176.h5       4:08.27           3799720
2008-177.h5       4:10.17           3978076
2008-178.h5       4:08.68           3978316
2008-179.h5       4:18.48           4158316
2008-180.h5       4:03.13           4158252
2008-181.h5       3:51.90           3976988
2008-182.h5       4:12.34           4160460
2008-183.h5       3:46.60           3977956
2008-184.h5       4:03.61           4158040
2008-185.h5       3:52.49           3978224
2008-186.h5       3:28.74           3797824
2008-187.h5       3:38.51           3978164
2008-188.h5       4:00.70           4149056
2008-189.h5       3:59.06           4149796
2008-190.h5       3:38.67           3979352
2008-191.h5       4:00.28           4148312
2008-192.h5       3:47.87           3978864
2008-193.h5       3:56.88           4148092
2008-194.h5       3:37.61           3968172
2008-195.h5       3:58.46           4149772
2008-196.h5       3:57.97           4147964
2008-197.h5       3:35.74           3799336
2008-198.h5       3:40.72           3977740
2008-199.h5       3:41.28           3969164
2008-200.h5       3:26.12           3786944
2008-204.h5       1:33.18           2522212
2008-205.h5       3:59.75           4149192
2008-206.h5       3:55.52           3980868
2008-207.h5       4:14.30           4158864
2008-208.h5       3:49.79           3979220
2008-209.h5       4:10.98           4158492
2008-210.h5       5:07.71           3978132
2008-211.h5       3:52.04           3978732
2008-212.h5       3:44.84           3980792
2008-213.h5       3:49.82           3979340
2008-214.h5       4:06.92           4158112
2008-215.h5       3:45.42           3977440
2008-216.h5       3:57.92           4157976
2008-217.h5       3:48.48           3979084
2008-218.h5       3:49.09           3977788
2008-219.h5       3:49.97           3980272
2008-220.h5       3:34.82           3800556
2008-221.h5       4:06.04           4159520
2008-222.h5       3:13.79           3618084
2008-223.h5       4:01.32           4158568
2008-224.h5       3:52.18           3978444
2008-225.h5       5:14.35           4158264
2008-226.h5       3:56.91           3981048
2008-227.h5       4:07.74           4158880
2008-228.h5       4:39.10           4159176
2008-229.h5       3:38.31           3979440
2008-230.h5       4:11.21           4160372
2008-231.h5       3:58.24           3981536
2008-232.h5       4:10.75           4157440
2008-233.h5       3:30.77           3798864
2008-234.h5       4:01.55           4158216
2008-235.h5       3:51.09           3979284
2008-236.h5       4:04.66           4158952
2008-237.h5       4:28.91           4158680
2008-238.h5       4:06.93           3981764
2008-239.h5       0:24.66           1615208
